"","part_id","cond","betas","funcMask","anatROI"
"109",32,"CSplus_V4",-0.602511213885413,"CSplusVsCSminus","aINS_space-EPI.nii"
"110",32,"GS1_V3",-0.402441189537446,"CSplusVsCSminus","aINS_space-EPI.nii"
"111",32,"GS2_V2",-3.74297150270806,"CSplusVsCSminus","aINS_space-EPI.nii"
"112",32,"CSminus_V1",-6.17766409344143,"CSplusVsCSminus","aINS_space-EPI.nii"
"113",33,"CSplus_V4",0.198964300619231,"CSplusVsCSminus","aINS_space-EPI.nii"
"114",33,"GS1_V3",0.00669255018234253,"CSplusVsCSminus","aINS_space-EPI.nii"
"115",33,"GS2_V2",1.96522342271275,"CSplusVsCSminus","aINS_space-EPI.nii"
"116",33,"CSminus_V1",-3.23765346404579,"CSplusVsCSminus","aINS_space-EPI.nii"
"117",37,"CSplus_V4",-2.88269259489245,"CSplusVsCSminus","aINS_space-EPI.nii"
"118",37,"GS1_V3",0.101789060235024,"CSplusVsCSminus","aINS_space-EPI.nii"
"119",37,"GS2_V2",-5.07888291885455,"CSplusVsCSminus","aINS_space-EPI.nii"
"120",37,"CSminus_V1",-6.66482625739442,"CSplusVsCSminus","aINS_space-EPI.nii"
"121",38,"CSplus_V1",1.77351619604561,"CSplusVsCSminus","aINS_space-EPI.nii"
"122",38,"GS1_V2",0.900845998972654,"CSplusVsCSminus","aINS_space-EPI.nii"
"123",38,"GS2_V3",3.66840564996004,"CSplusVsCSminus","aINS_space-EPI.nii"
"124",38,"CSminus_V4",-2.09584008402295,"CSplusVsCSminus","aINS_space-EPI.nii"
"125",39,"CSplus_V1",-0.768144128322601,"CSplusVsCSminus","aINS_space-EPI.nii"
"126",39,"GS1_V2",-1.96303005841043,"CSplusVsCSminus","aINS_space-EPI.nii"
"127",39,"GS2_V3",-3.09441490623686,"CSplusVsCSminus","aINS_space-EPI.nii"
"128",39,"CSminus_V4",-7.74632619751824,"CSplusVsCSminus","aINS_space-EPI.nii"
"129",40,"CSplus_V4",-4.00629014154275,"CSplusVsCSminus","aINS_space-EPI.nii"
"130",40,"GS1_V3",-1.74555473022991,"CSplusVsCSminus","aINS_space-EPI.nii"
"131",40,"GS2_V2",-3.50484247285459,"CSplusVsCSminus","aINS_space-EPI.nii"
"132",40,"CSminus_V1",-6.66046521974934,"CSplusVsCSminus","aINS_space-EPI.nii"
"133",41,"CSplus_V4",-1.2311646713482,"CSplusVsCSminus","aINS_space-EPI.nii"
"134",41,"GS1_V3",-0.495715196960502,"CSplusVsCSminus","aINS_space-EPI.nii"
"135",41,"GS2_V2",-0.713109119724896,"CSplusVsCSminus","aINS_space-EPI.nii"
"136",41,"CSminus_V1",0.226600486983856,"CSplusVsCSminus","aINS_space-EPI.nii"
"137",43,"CSplus_V1",0.408161675731341,"CSplusVsCSminus","aINS_space-EPI.nii"
"138",43,"GS1_V2",-1.27346924963097,"CSplusVsCSminus","aINS_space-EPI.nii"
"139",43,"GS2_V3",1.16119242027402,"CSplusVsCSminus","aINS_space-EPI.nii"
"140",43,"CSminus_V4",0.504439322807723,"CSplusVsCSminus","aINS_space-EPI.nii"
"141",44,"CSplus_V4",-1.86914153155353,"CSplusVsCSminus","aINS_space-EPI.nii"
"142",44,"GS1_V3",1.31267283582025,"CSplusVsCSminus","aINS_space-EPI.nii"
"143",44,"GS2_V2",-1.8982424910201,"CSplusVsCSminus","aINS_space-EPI.nii"
"144",44,"CSminus_V1",1.46098059465488,"CSplusVsCSminus","aINS_space-EPI.nii"
"145",45,"CSplus_V4",5.97386708696683,"CSplusVsCSminus","aINS_space-EPI.nii"
"146",45,"GS1_V3",3.34654771682289,"CSplusVsCSminus","aINS_space-EPI.nii"
"147",45,"GS2_V2",-0.385355367759864,"CSplusVsCSminus","aINS_space-EPI.nii"
